id,name,line
1,Девяткино,red
2,Гражданский проспект,red
3,Академическая,red
4,Политехническая,red
5,Площадь Мужества,red
6,Лесная,red
7,Выборгская,red
8,Площадь Ленина,red
9,Чернышевская,red
10,Площадь Восстания,red+green
11,Владимирская,red+orange
12,Пушкинская,red+violet
13,Технологический институт,red+blue
14,Балтийская,red
15,Нарвская,red
16,Кировский завод,red
17,Автово,red
18,Ленинский проспект,red
19,Проспект ветеранов,red
20,Парнас,blue
21,Проспект Просвещения,blue
22,Озерки,blue
23,Удельная,blue
24,Пионерская,blue
25,Черная речка,blue
26,Петроградская,blue
27,Горьковская,blue
28,Невский проспект,blue+green
29,Сенная площадь,blue+violet+orange
30,Фрунзенская,blue
31,Московские ворота,blue
32,Электросила,blue
33,Парк Победы,blue
34,Московская,blue
35,Звездная,blue
36,Купчино,blue
37,Беговая,green
38,Новокрестовская,green
39,Приморская,green
40,Василеостровская,green
41,Площадь Александра Невского,green+orange
42,Елизаровская,green
43,Ломоносовская,green
44,Пролетарская,green
45,Обухово,green
46,Рыбацкое,green
47,Лиговский проспект,orange
48,Новочеркасская,orange
49,Ладожская,orange
50,Проспект болельщиков,orange
51,Улица Дыбенко,orange
52,Комендантский проспект,violet
53,Старая деревня,violet
54,Крестовский остров,violet
55,Чкаловская,violet
56,Спортивная,violet
57,Адмиралтейская,violet
58,Обводный канал,violet
59,Волковская,violet
60,Бухарестская,violet
61,Международная,violet